QUESTION,ANSWER,TAGSET,LEMMA
고생하십니다 부전공 관련해 여쭈어봅니다 제가 이중전공 A -> 부전공 B 로 변경한 상태입니다 부전공 B -> 부전공 C 로 다시 변경 가능한가요부전공 변경 횟수가 1번 혹은 2번으로 알고 있는데 2번 변경가능한가요,,"['SM', 'DM']",고생 부전공 관련 여쭈 제가 이중전공 부전공 변경 상태 부전공 부전공 변경 가능 가요 부전공 변경 횟수 변경 가능
교환학생 지원할 때 총점 보잖아요 그 총평이 재수강 성적으로 바뀐 것이 반영된 총점인거죠 누가 교환은 재수강 전의 총점으로 본대서요,,['UK'],교환 학생 지원 총점 총평 재수강 바뀌 반영 총점 누가 교환 재수강 총점 대서요
‘졸업예정자’ 자격은 어떻게 되나요 졸업자격 말구 졸업예정자 자격이요 제가 전공 과목만 15학점 남겨둔 4-1학기 마친 재학생인데요 다음 학기는 12학점만 듣고 3학점은 그 후위 계절학기로 채운다면 다음 학기에 졸업예정증명서를 뗄 수 있는 것인가요 ,,['UK'],졸업 예정자 자격 어떻 졸업 자격 졸업 예정자 자격 제가 전공 과목 15 학점 남기 학기 마치 재학 다음 학기 12 학점 학점 계절 학기 채운 다음 학기 졸업 예정 증명서
계절학기만 들을수 있나요 꼭 전이나 후로 학기 등록이 되어야 하나요,,['UK'],계절 학기 학기 등록
2학기때 20학점을 들었는데 내년 1학기때 이월되는 점수가 없나요2학기 과목을 재수강을 해야 하는데 그냥 20학점 안에서 하면 되는 건가요,,['UK'],학기 20 학점 내년 학기 이월 점수 학기 과목 재수강 20 학점
장학금 산정시 계절학기도 포함되나요 이번학기 성적은 45인데 계절학기가 재수강이어서 아무리 잘해도 40이니까 이 두학점을 포함해서 계산하게 되는 건가요,,['UK'],장학금 산정 계절 학기 포함 이번 학기 성적 45 계절 학기 재수강 40 학점 포함 계산
다음 학기 복학예정인 14학번학생입니다 군대에서 진로에 대해 깊게 고민을 한결과 이중전공을 융합소프트웨어나 문화콘텐츠로 변경을 하려고 하는데요 기존에는 제가 경제 이중전공을 희망하다가 학점때문에 떨어지고 부전공을 경제로한뒤 이중전공 변경 기간에 경제를 이중전공 올리려고 생각을 했었습니다 일반전공은 이런 식으로 변경하는 게 맞는거 같은데 융합전공도 동일하게 가능한지 궁금합니다 지금 부전공이 경제인 상태인데 마찬가지로 이중전공변경신청기간에 융합소프트웨어나 문화콘텐츠 신청하면 되는 건가요 이중전공 티오가 있어야 하는 걸로 아는데 찾아보니 융합소프트웨어는 중간변경은 안된,,"['SM', 'DM', 'UK']",다음 학기 복학 예정 14 학번 학생 군대 진로 대하 고민 결과 이중전공 융합 소프트웨어 문화콘텐츠 변경 기존 제가 경제 이중전공 희망 학점 때문 떨어지 부전공 경제 이중전공 변경 기간 경제 이중전공 올리 생각 일반 전공 변경 융합전공 동일 가능 지금 부전공 경제인 상태 마찬가지 이중전공 변경 신청 기간 융합 소프트웨어 문화콘텐츠 신청 가요 이중전공 티오 찾아보 융합 소프트웨어 중간 변경
2학년 1학기에 재수강 3학점 과목을 포함해 총 20학점을 들으려고 하는데요 재수강 과목 점수가 잘나와서 초수강했던 점수과 바뀌면 1학기에는 17학점을 들었던 걸로 계산되나요 그럼 2학년 2학기에는 3학점을 이월해서 23학점을 들을 수 있나요,,['UK'],학년 학기 재수강 학점 과목 포함 20 학점 재수강 과목 점수 나오 수강 점수 바뀌 학기 17 학점 계산 학년 학기 학점 이월 23 학점
초과학기에 졸업학점 넘기면134 재수강이 불가능하다는 글을 봤는데 정말인가요,,['UK'],초과 학기 졸업 학점 넘기 134 재수강 가능
전공 동일과목 재수강 몇번까지 가능한가요,,['UK'],전공 동일 과목 재수강 가능
군휴학은 날짜만 정해지면 바로 신청할 수 있나요,,['UK'],휴학 날짜 정하 신청
제가 2학년 2학기때 이중전공을 경영으로 변경신청을 했는데시험에서 떨어졌어요 그럼 변경신청을 했지만 떨어진거니까다음 학기때 경영학점을 미리 들어놓고 다시 신청기간에 신청할 수 있는 건가요 아님 시험에서 떨어졌으니 경영으로 부전공 처리가 되는 건거요 도와주세요,,"['SM', 'DM']",제가 학년 학기 이중전공 경영 변경 신청 시험 떨어지 그러 변경 신청 떨어지 다음 학기 경영학 신청 기간 신청 아니 시험 떨어지 경영 부전공 처리 도와주
이미 들은 영어과목 2개가 있는데 그 중 하나가 씨쁠이라 재수강하고 싶어요 근데 들어놓은 다른 과목으로는 안되는 거죠 꼭 학기초에 재수강 연결해서 새로 들어야 하는 거죠,,[],
이번에 성적이 잘 나오면 성적장학금을 받을 수 있을 것 같은데 막학기도 받을 수 있나요언제 어디서 확인할 수 있나요,,['UK'],이번 성적 나오 성적 장학금 학기 어디 확인
소수어과71로 해외대학에 가게되면 최대 몇학점까지 이수가 가능한가요,,['UK'],소수어과71 해외 대학 최대 학점 이수 가능
다음 학기에 재수강을 많이 할 것 같은데 교내장학금 기준은 재수강 제외 몇학점 이상인가요과마다 다르다면 일반적으로 또는 예라도 알고 싶어서 질문드립니다,,['UK'],다음 학기 재수강 교내 장학금 기준 재수강 제외 학점 이상인 가요 다르 일반 질문 드리
재수강 체크를 하지 않고 수강 신청을 했는데 재수강 연결이 불가능한 건가요,,['UK'],재수강 체크 수강 신청 재수강 연결 가능
공업수학 재수강해야 하는데 꼭 본인의 학과 수업으로 해야 하나요 다른과 공업수학으로도 재수강이 가능한지 알고 싶습니다,,['UK'],공업 수학 수강 본인 학과 수업 공업 수학 재수강 가능
교양 재수강 할때 다른 카테고리로 가능한가요ex국가와 사회>>역사와철학,,['UK'],교양 재수강 카테고리 가능 가요 국가 사회 역사 철학
방학중인데 추천서를 받으려면 어떻게 해야 할까요추천서에 서명란이 있는데 방학이라 서명을 받을 수 있을 지를 모르겠네요 제가 생각하는 대로 그냥 무작정 대학교로 다시 찾아가야하나요 집이 강원도라 캠퍼스로 돌아가기는 너무 먼데 다녀와야하나싶어서요도와주세요,,['UK'],방학 추천서 어떻 추천 서명 방학 서명 모르 생각 대로 작정 대학교 찾아가 강원도 캠퍼스 돌아가 다니 도와주
성적산출시 ABC커트라인에서 동점자는 어떻게 처리되나요,,['UK'],성적 산출 커트 라인 동점 어떻 처리
제가 인턴 지원하려고 다음 학기 휴학신청하려 하는데만약 안되면 개강 첫 주에 복학하려구요 수강신청 때 휴학신청하고 개강 첫 주에 다시 복학처 할 수 있나요,,['UK'],제가 인턴 지원 다음 학기 휴학 신청 만약 개강 복학 수강 신청 휴학 신청 개강 복학
추운데 고생 많으십니다 제가 18년도 1년 일반휴학할 예정인데 휴복학 등록기간에 종정시로 등록만 하면 되는 건가요,,['UK'],고생 제가 18년 1년 일반 휴학 예정 복학 등록 기간 종정 등록
과에서 정한 기준을 충족시키지 못하면 후기 이중전공도 떨어질 수 있나요,,['DM'],정하 기준 충족 시키 못하 후기 이중전공 떨어지
교류과목인데 생각도 못하고 안듣고 있다가 내년에 들으려고 하니까 폐지되었는지 다른이름으로밖에 강의가 없어요 대체해서 들어도 되는 건지 궁금하네요 언어와인지 -> 언어와인간,,['UK'],교류 과목 생각 내년 폐지 이름 강의 대체 언어 인지 언어 인간
혹시 이중전공 신청한것 다른 전공으로 바꿀 수 있은 기간이 있나요,,['DM'],이중전공 신청 전공 바꾸 기간
등록휴학을 하려고 하는데요지금 휴학신청을 하고 나서 등록기간에 등록금을 내는 건가요 아니면 등록금을 내고 난 뒤에 휴학신청을 하는 건가요,,['UK'],등록 휴학 휴학 신청 등록 기간 등록금 등록금 휴학 신청
제가 2월에 휴학신청 했다가 3월 개강 첫 주에 다시 복학처리가 가능한가요 군대 합격이 안되서 휴학을 했다가 군대 합격이 안되면 다시 개강 첫 주에 복학을 하고 싶어서요,,['UK'],제가 2월 휴학 신청 3월 개강 복학 처리 가능 군대 합격 휴학 군대 합격 개강 복학
eicc 수강신청할때 이중전공생은 1전공 수업 못듣나요,,['DM'],수강 신청 이중전공 전공 수업
다음 학기 휴학할 예정인데요 2학기에 교환 신청 하려면 복학신청은 언제 어떻게 하면 되나요,,['UK'],다음 학기 휴학 예정 학기 교환 신청 복학 신청 어떻
방학중 인턴 학점인정 관련 문의드립니다6개월정도 휴학하고부터 방학까지 회사 정식 인턴 중 인데요 전공과 관련있으면 학점인정이 가능하다는 소식을 들어서요 미리 학점인정 신청을 했어야 되는 건가요,,['UK'],방학 인턴 학점 인정 관련 문의 드리 개월 정도 휴학 방학 회사 정식 인턴 전공 관련 학점 인정 가능 소식 학점 인정 신청
플렉스 성적으로 교양영어 학점 대체하려고 하는데 iBT플렉스도 가능한가요,,['UK'],렉스 교양 영어 학점 대체 렉스 가능
등록휴학을 하려고 하는데 기숙사도 신청해야 하나요,,['UK'],등록 휴학 기숙사 신청
국가장학금 성적 평가 시 직전학기 성적에 계절학기도 포함되나요,,['UK'],국가 장학금 성적 평가 직전 학기 성적 계절 학기 포함
지금 18년 1학기 수강시간표 전부 나와 있나요 보니까 없는 학과들도 있던뎅,,['UK'],18 학기 수강 시간표 나오 학과 있던뎅
학과에 졸업시험으로 내는 졸업인증요 영어성적 점수랑 학사종합지원센터에 내는 외국어인증이랑 별도로 제출하는 게 맞나요,,['UK'],학과 졸업 시험 졸업 인증 영어 성적 점수 학사 종합 지원 센터 외국어 인증 별도 제출
이중전공 신청한 거 모두 포기하고부전공 신청하려면 어떻게 해애 하나요,,"['SM', 'DM']",이중전공 신청 포기 부전공 신청 어떻 하나
내년 1학기에 20학점 들으면 애매하게 전공1학점 교양1학점 이렇게 총 2학점이 남는데 전공이 1학점 짜리가 없어서 계절학기에 전공 2학점 교양 1학점 이렇게 들어야 되나요 너무 아까워요,,['UK'],내년 학기 20 학점 전공 학점 교양 학점 이렇 학점 전공 학점 짜리 계절 학기 전공 학점 교양 학점 아깝
이번학기 끝나고 졸업하게 되는데 외국어 성적 빼고는 졸업요건을 맞추는데 혹시 졸업식 시즌 이후인 내년 3월쯤에 외국어 성적을 제출하면 그 즉시 졸업처리가 되는지 아니면 그해 8월까지 있어야 졸업이 되는지 궁금해서 글 남겨봅니다,,['UK'],이번 학기 졸업 외국어 성적 졸업 요건 맞추 졸업식 시즌 이후 내년 외국어 성적 제출 즉시 졸업 처리 아니 졸업 남기
계절학기 f받아도 학점 인정은 되는 건가요,,['UK'],계절 학기 학점 인정
재수강한 성적이 더 안좋게 나오면 그거 취소 하고 재수강 전 성적으로 대체 가능한가요,,['UK'],재수강 성적 나오 그거 취소 재수강 성적 대체 가능
학기 중 군입대 관련해서 질문드려요 내년 2학기 쯤에 군입대를 할 것 같은데 입대시기가 10월12월 이라서 중간고사까지만 보고 기말은 못 보고 갈 것같은데 이러면 어떻게 되는 건가요,,['UK'],학기 입대 관련 질문 드리 내년 학기 입대 입대 시기 10 12 중간고사 이러 어떻
일부러 5학년 1학기 남기고 싶은데전공이나 이중전공 학점 남겨야만 하나요혹시 학점 이수 다 하고 교양 재수강만 5학년 1학기때 할 수 있나요 아님 토익점수 안내면 자동 유예되는 거 이요해서 5학년 1학기때 교양 재수강할 수 있나요,,['DM'],학년 학기 남기 전공 이중전공 학점 남기 학점 교양 재수강 학년 학기 아니 토익 점수 안내면 자동 유예 학년 학기 교양 재수강
코트라 이번 인턴 15학점 되는 줄 알고 전공 최대 6학점 자선 9학점으로 적으려고 했는데누가 자선으로 넣으면 6학점 밖에 인정이 안된다고 그러는데 사실인가요 사실이라면 전공 6학점 자선 6학점 총 12학점만 인정을 받을 수 있나요,,['UK'],코트 이번 인턴 15 학점 전공 최대 학점 자선 학점 자선 학점 인정 그러 사실 사실 전공 학점 자선 학점 12 학점 인정
공대 학사 편입생인데 전필 교양만 듣고 졸업가능한가요 아니면 총 이수 학점 이라는 게 있나요,,['UK'],공대 학사 편입 교양 졸업 가능 이수 학점
부전공이 스페인어고 본전공은 영어인데교환을 스페인으로 가려고 하는데요그런데학점인정을 영어로진행되는 영어전공수업으로 들으면 본전공인정 받을 수 있는 거죠 교환가기전에 허락맡고가야되는 건가요,,['SM'],부전공 스페인어 전공 영어 교환 스페인 학점 인정 영어 진행 영어 전공 수업 전공 인정 교환 허락
날씨가 쌀쌀한데도 수고 많으십니다내년 4월에 군대가려고 계획 중인 17입니다 그래서 이번 학기 마치고 휴학하려고 하는데 이게 이중전공에 영향을 끼치진 않겠죠예를 들어 ‘2학년 1학기를 등록하고 휴학을 해야 신청했던이중전공이 정상적으로 등록 된다’ 같은,,['DM'],날씨 수고 내년 군대 계획 17 이번 학기 마치 휴학 이중전공 영향 끼치 학년 학기 등록 휴학 신청 이중전공 정상 등록
1학기에 전공수업에서 f 를 받았는데 이 수업을 다시 들을 자신이 없습니다 이거 지울려면 동일과목을 재수강해야 하는 건가요 아님 그냥 다른과목 들어서 학점 채우면 되는 건가요,,['UK'],학기 전공 수업 수업 자신 이거 지우 동일 과목 수강 아니 과목 학점 채우
교환학생 skype면접이 면접 일시에 해외에만 나가 있다면 이유상관없이 가능한 것인가요아님 특정 사유에만 가능한가요,,['UK'],교환 학생 면접 면접 일시 해외 나가 이유 가능 아니 특정 사유 가능
계절학기는 추가등록이 불가한가요 담당자께 직접 돈 갖다드릴 수도 있는데,,['UK'],계절 학기 추가 등록 불가 담당자 드리
17학번인데 2학기 휴학했고 내년1학기에 복학예정이거든요그러면 1학기 말쯤에 이중전공을 신청하게 된다고 알고 있는데선발기준 이런 게 보통17들이 11월에 신청했을 때의 선발기준과 달라지나요 남은 자리에 들어가는 식인가요,,['DM'],17 학번 학기 휴학 내년 학기 복학 예정 그러 학기 이중전공 신청 선발 기준 17 11월 신청 선발 기준 달라지 남은 자리 들어가
어디 가셨나요 흑 여쭤볼게 있는데계절학기 초수강자 재수강자가 섞요있으면 상대평가는 초수강자 수만을 기준으로 하는 거 맞나요,,['UK'],어디 여쭈 계절 학기 초수 강자 재수강 자가 섞요 상대 평가 초수 강자 기준
12월들어서이사라지심,,['UK'],12 사라지
성적 백분위환산점수를 어떻게 확인할수 있나요 그리고 학력조회확인담당부서는 어디인지 알수 있을까요,,['UK'],성적 백분위환산 점수 어떻 확인 학력 조회 확인 담당 부서 어디
에프를 받아도 이수학점에 포함되는 건가요 학점 계산말고요,,['UK'],에프 이수 학점 포함 학점 계산
부전공 경영에서 이중전공으로 올리는 것은 학년별 티오에 따라 가능한거잖아요만약 제가 내년에 17티오로 시험을 봤는데 못올릴 경우 내후년 혹은 다른해에 또 티오가 날 경우 신청이 가능한지 궁금합니다,,"['DM', 'SM']",부전공 경영 이중전공 올리 학년 티오 따르 가능 만약 내년 17티오 시험 올리 경우 내후년 티오 경우 신청 가능
휴학계는 언제 내요,,['UK'],휴학계
외부 장학금 관련 질문 드리려 합니다 총/학장 추천서는 누구한테 어디 가서 어떻게 받아야 하는 건가요,,['UK'],외부 장학금 관련 질문 드리 학장 추천서 누구 어디
교환학생이나 71은 과에서만 선발하는 건가요학교전체에서 모든 과가 경쟁상대가 아닌가요오로지 과에서 만인가요,,['UK'],교환 학생 71 선발 학교 전체 경쟁 상대 아니
수직 장학생을 하면 등록금이 감면되는 건가요 아니면 계좌로 입금되는 건가요,,['UK'],수직 장학 등록금 감면 계좌 입금
제가 불안해서 여쭤봅니다이중전공 조건같은경우 학과 홈페이지 공지에 따로 기재되어 있지 않으면 없는 거 맞나요,,['DM'],불안 여쭈 이중전공 조건 경우 학과 홈페이지 공지 기재
만약에 교양과목 필수 이수학점을 초과해서 들으면 나중에 성적제출할때 과목을 골라서 넣을 수 있나요예를들면 26학점을 들어야 하는데 28학점을 들은경우 2학점 되는 수업이 성적이 좋을 경우 예전에 들은 26학점 안에 있는 C과목이랑 바꿀 수 있는지 궁금합니다,,['UK'],만약 교양 과목 필수 이수 학점 초과 나중 성적 제출 과목 고르 26 학점 28 학점 경우 학점 수업 성적 경우 예전 26 학점 과목 바꾸
등록비 이미 냈는데 중도 휴학하면 돈 돌려받을 수 있나요,,['UK'],등록 중도 휴학 돌려받
12년도에 받은 f학점은 막학기에 사라지는게 맞나요 막학기에 사라진다면 어느시점을 기준으로 사라지게되나요,,['UK'],12 년도 학점 학기 사라지 학기 사라지 시점 기준 사라지
하세요학교마다 다르다고 하던데 우리 학교도 휴학 전에 국가장학금 신청해놓아야 하나요,,['UK'],학교 다르 우리 학교 휴학 국가 장학금 신청
해외 교환학생으로 얻은 학점 중에 자선 or 교양 패스 성적 기준이 얼마인가요 C이라던가,,['UK'],해외 교환 학생 학점 자선 교양 패스 기준 얼마
4학년때 취업하면 출결 처리를 학교에서 해준다고 들었는데 졸업 학점 얼마 정도 채워야지 출결 처리 해주나요 현재 3학년 2학기 입니다,,['UK'],학년 취업 출결 처리 학교 졸업 학점 얼마 정도 채우 출결 처리 학년 학기
내년봄에 8학기되는데 학기끝나고 여름계절로 2학년때 C받았던 두과목 재수강할 수 있나요,,['UK'],내년 학기 학기 여름 계절 학년 과목 수강
취업계 내면 성적처리는 어떻게 되나요Pass로 주시는 건가요 아니면 C주시나요,,['UK'],취업 내면 성적 처리 어떻 C주시나
방학중인턴은 전공 학점엔 안들어가나요,,['UK'],방학 인턴 전공 학점 들어가
장기외부인턴으로 학점인정신청하고 한학기 등록금내고 인턴하고 돌아왔더니 학점인정 안된다고 하면 등록금 돌려주나요,,['UK'],장기 외부 인턴 학점 인정 신청 학기 등록금 인턴 돌아오 학점 인정 등록금 돌려주
재수강은 절대평가인가요 만약 그렇다면 제가 교수님께 가서 재수강이라고 말씀드려야되나요,,['UK'],재수강 절대 평가 만약 그렇 제가 교수 재수강 말씀 드리
등록휴학 하고 다음 학기에 교환학생을 갈 경우 복학신청을 반드시 해야 할까요,,['UK'],등록 휴학 다음 학기 교환 학생 경우 복학 신청
1학년 1학기재학후 휴학한다음 다음 학기 복학예정인 학생입니다 제가 1학년 1학기성적 이 너무 망했는데 1학년 2학기때 이중전공신청을 한다고 알고 있습니다 성적 복구를 해야 할 것 같은데 휴학후 계절학기로 휴학전 학기를 성적복구가가능한가요,,['DM'],학년 학기 재학 휴학 다음 다음 학기 복학 예정 학생 제가 학년 학기 성적 망하 학년 학기 이중전공 신청 성적 복구 휴학 계절 학기 휴학 학기 성적 복구 가능
제가 이번에 이중전공을 신청했는데요내년 5월에 이중전공 신청기간이 한번 더 있다는 말을 들었습니다 그때 학점순으로 뽑는다면 올해2학기와 내년1학기 성적평균으로 보는 건가요 이전 모든학기 평균으로 보는 건가요 그리고 5월신청때는 경쟁률이 지금보다 좀 덜한지도 궁금합니다 답변감사합니다,,['DM'],제가 이번 이중전공 신청 내년 이중전공 신청 기간 그때 학점 올해 학기 내년 학기 성적 평균 이전 학기 평균 5월 신청 경쟁 지금 답변 감사
조모상은 며칠까지 출석인정되나요,,['UK'],조모 며칠 출석 인정
71 관해 여쭤보고 싶은게 있어요제가 3학년 끝나고 2년 휴학을 할 건데요4학년 1학기 때 71을 갔다 오고 싶어요휴학 한다음 바로 갔다 올 수 있나요신청기간에 제가 아마 휴학생일텐데 어려울까요,,['UK'],71 관해 여쭈 학년 휴학 학년 학기 71 휴학 다음 신청 기간 제가 휴학 어렵
제가 이중전공 전공 신청을 했는데 내년에 다른 거로 번경 신청하면 일학넌 초수강 성적이 들어가나요 이번에 너무너무 들어가고 싶었던 학과가 있었는데 성적이 약간 부족해서 못 들어갔거든요 재수강 하나면 될 거 같아서 이렇게 글 남깁니다 감사합니다,,['DM'],제가 이중전공 전공 신청 내년 신청 수강 성적 들어가 이번 들어가 학과 성적 부족 들어가 재수강 하나 이렇 남기 감사
제가 이번에 이중전공 신청안했는데 내년 1학기때 신청할려고 합니다 근데 제가 자연스럽게 전공심화가 되는 건가요,,"['DM', 'UK']",제가 이번 이중전공 신청 내년 학기 신청 자연 전공심화
고생 많으십니다교양영어 flex대체 관련해서 질문이 있습니다 제가 14학번인데 실요외국어는 하나도 안듣고 교양영어만 1 2 이미 들은 상태입니다 근데 성적이 애매해서 플렉스로 대체하고자 하는데 가능한가요 가능하다면 해당 교양영어 학점성적이 바뀌는건가요 ex b- >a,,['UK'],고생 교양 영어 대체 관련 질문 제가 14 학번 실요 외국어 하나 교양 영어 상태 성적 플렉스 대체 가능 가능 해당 교양 영어 학점 성적 바뀌
제가 18년도 1년 휴학하려고 하는데 그러 18년도 여름계절은 못듣는건가요,,['UK'],제가 18년 휴학 그러 18년 여름 계절
깜빡하고 계절학기 신청기간에 신청을 못했는데혹시 계절학기 수강신청 변경기간에 신청할 수 있나요,,['UK'],계절 학기 신청 기간 신청 계절 학기 수강 신청 변경 기간 신청
서울캠 영어대 내 학과중 하난데 다른 영어대 내 학과 이중전공 신청 가능하죠,,['DM'],서울 영어 학과 하나 영어 학과 이중전공 신청 가능
71이나 교환학생 지원시 전학기 휴학생도 신청 가능한가요,,['UK'],71 교환 학생 지원 학기 휴학 신청 가능
이중전공 관해서 여쭤볼게 있습니다 혹시 이중전공을 신청했고 붙었는데 아예 안하는 경우도 가능한가요 미루는게 아니라,,['DM'],이중전공 관해 여쭈 이중전공 신청 경우 가능 미루 아니
하세요 질문이요교양재수강연결은 같은카테고리만되는 거 맞나요예를들면 문예랑 언문은안돼는거죠,,[],
자선으로 다른과 언어수업을 들었다가 d를 맞았는데재수강하려면 같은 과목을 들어야 하나요아니면 다른 자선과목으로 대체할수 있나요,,['UK'],자선 언어 수업 수강 과목 아니 자선 과목 대체
항상 감사합니다 추운날 감기걸리지 않게 따뜻하게 입고 다니시길 바래요제가 궁금한 것은 예를 들어 미컴 A세부전공을 일단 이중전공 신청하고 붙은 후 나중에 미컴 B세부전공으로 ‘전과’가 가능한가요 혹시 이것이 가능하다면 언제 전과가 가능한가요 또한 전과의 자격 요건 또한 궁금합니다,,"['SM', 'DM']",감사 감기 걸리 다니 바래 A세 부전공 이중전공 신청 나중 B세 부전공 전과 가능 이것 가능 전과 가능 전과 자격 요건
F 학점 관련해서 질문할 것이 있습니다F 학점을 맞게되면 1 성적 처리할 때 당해 학기에 포함되나요2 기록으로 계속 남나요 재수강 한다고 했을 때 재수강 후에 기록에서 지워지는 지 궁금합니다,,['UK'],학점 관련 질문 학점 성적 처리 학기 포함 기록 재수강 재수강 기록 지우
훕커 계절 들으려고 하는데요 2016학년도 이전 입학생만 가능하다는 데 16학번도 수강 가능한가요,,['UK'],계절 2016 학년도 이전 입학 가능 16 학번 수강 가능
부전공으로 하고 이중전공돌리는게 많이 힘들까요이중으로 돌리는 것도 해당되는 과에 티오가 있으면 되는 걸로 아는데 또 다른 조건있나요- 항상 답변해주셔서 정말 감사해요 많이 배워갑니다 건강하세요 ,,"['DM', 'SM']",부전공 이중전공 돌리 힘들 이중 돌리 해당 티오 조건 답변 감사 배우 건강
항상 고생하십니다 질문 드릴게 있어서요 브릭스 융합 전공 상경트랙을 탄다면학년 구분되어 있는 예를들어 3학년꺼 뭐뭐뭐 4학년꺼 뭐뭐뭐2학년때 미리 들어도 되는 건가요,,['UK'],고생 질문 드리 브릭스 융합 전공 상경 트랙 학년 구분 학년 학년 학년
막학기 8학기 이면 8학점들어두 등록금 안깎아주나요,,['UK'],학기 학기 학점 등록금
이중전공으로 융복합소프트웨어를 신청하려고 하는데요신청페이지 보니까 글로벌캠퍼스에 공과대학이라고 나와 있더라구요1 졸업장에는 글캠으로 찍혀나오나요2 글캠이니까 수업들으러 글캠으로 가야하나요,,['DM'],이중전공 융복 소프트웨어 신청 신청 페이지 글로벌 캠퍼스 공과대학 나오 졸업장 글캠 찍히 나오 글캠 수업 글캠
이번에 계절 처음인 신입생인데요 1학기때꺼 재수강 하려고 하는데 재수강 연결어떻게 하나요종정시에서 재수강과목 선택에도 아무것도 안떠서요,,['UK'],이번 계절 처음 신입생 학기 수강 재수강 연결 어떻 종정 재수강 과목 선택 아무것
이중전공 a - 부전공 b - 이중전공 c - 부전공 d 의 과정으로 부전공 d로 변경하는 게 가능한지 알고 싶어요,,"['DM', 'SM']",이중전공 부전공 이중전공 부전공 과정 부전공 변경 가능
2학점짜리교양 수업을 1학점짜리 수업으로 재수강 할 수 있나요,,['UK'],학점 짜리 교양 수업 학점 짜리 수업 수강
제가 영통인데 계절학기를 들으려고 하는데요 영통이면 실요외국어 토익과목 수강 못하나요 ,,['UK'],제가 영통 계절 학기 영통 외국어 토익 과목 수강 못하
하세요 이중전공 법학과 할수 없나요,,['DM'],이중전공 법학
저는 글캠 17학번생입니다 계절학기로 설캠에서 미네르바나 다른 수업들을 들을수 있나요,,['UK'],17 학번 계절 학기 설캠 미네르바 수업
저는 는 아니지만 여기 올라오는 글들 정말 수강편람 혹은 학사공지만 읽어도 답나오는 질문들이 너무 많네요 기본적인 서칭은 하고 물어봅시다 여러분 진짜 너무 하시는듯 물론 에타이 봉사 형식으로 하는 거긴 한데 내가 좀만 노력해도 답나오는 건 스스로 서칭합시다 제발,,['UK'],아니 올라오 수강 학사 공지 나오 질문 기본 서칭 여러분 타이 봉사 형식 노력 나오 서칭
내년 2월에 군입대 하더라도 이번에 이중전공 신청해야 하나요도와주세요 ,,['DM'],내년 입대 이번 이중전공 신청 도와주
현재 4학년 1학기인데 내년에 졸업유예할 일이 있어서 유예하려는데 13학점 남았어요유예하려면 13학점 중 일부를 남겨야하죠교양 재수강으로는 5학년 1학기까지 넘어갈 수 없나요 안되면 전공 2학점짜리라도 남겨서 2학기 때 들어야 가능한가요,,['UK'],학년 학기 내년 졸업 유예 유예 13 학점 유예 13 학점 일부 남기 교양 재수강 학년 학기 넘어가 전공 학점 짜리 남기 학기 가능
교양과목인데 전공대체되는 과목을 계절학기로 수강하려하는데 따로 어떤 절차를 밟아야 하나요,,['UK'],교양 과목 전공 대체 과목 계절 학기 수강 절차
항상 고생 많으셔요제가 이중전공 통대로 신청하고 내년 1학기말고 2학기때 들을 려고 합니다 다른과는 어떤지 모르겟는디 저희과는 2학기때 들을 수 있는 과목이 있고 1학기때 들을 수 있는 과목이 있던데 이중전공 마찬가진가요 그러면 언어를 배울때 순서대로 못배우지 않나요,,['DM'],고생 이중전공 신청 내년 학기 학기 어떻 모르겟 저희 학기 과목 학기 과목 이중전공 마찬가지 그러 언어 배우 순서 배우
제가 미컴이중을 신청하고 싶은데 만약 떨어졌을경우 부전공을 하려합니다 그런데 부전공을 이중전공 변경하려면 1학기중에 이중전공 변경신청 티오나면 가능 2후기이중전공 이렇게 두개방법이 있는 걸로 아는데 1번경우가 많이 힘든지배정기준은 뭔지 궁금합니다 그리고 2번경우는 4년안에 졸업하기가 힘든지도 궁금합니다 답변감사합니다,,"['SM', 'DM']",제가 미컴이중 신청 만약 떨어지 경우 부전공 부전공 이중전공 변경 학기 이중전공 변경 신청 티오나 가능 2후기 이중전공 방법 경우 힘들 배정 기준 경우 졸업 힘들 답변 감사
휴학 중에도 이중전공 가능한가요,,['DM'],휴학 이중전공 가능
플렉스 다시보고 교양외국어 진리반으로 올리려면 시험 따로 치고 성적 입력해야 하나요 그 과정이 어떻게 되는지,,['UK'],렉스 교양 외국어 진리 올리 시험 성적 입력 과정 어떻
혹시 코어 관련도 질문드려도 될까요코어 전공 가능한 학과 재학 중인데 Core 학업 지원금의 경우 무조건 석사 과정을 밟을 학생만 신청 가능한가요 혹은 코어 과정 중인 3 4학년 모두 신청 가능한지 궁금합니다,,['UK'],코어 관련 질문 드리 코어 전공 가능 학과 재학 학업 지원금 경우 석사 과정 학생 신청 가능 코어 과정 학년 모두 신청 가능
국제지역대학 1학년 학생입니다부전공 신청해서 후기이중전공으로 가려 한다면6학기까지 1전공 이중전공/부전공 이수학점체계는어떻게 되나요,,"['SM', 'DM']",국제 지역 대학 학년 학생 부전공 신청 후기 이중전공 학기 전공 이중전공 부전공 이수 학점 체계 어떻
