,내용,분류,명사토큰
154,안녕하세요 조교님!등록휴학 관련해서 궁금한게 있습니다휴학 신청기간에 휴학 신청을 하지 못해서 개강 후 첫주에 휴학 신청을 하려고 합니다지금 등록금을 내고 개강 첫 주 기간에 휴학 신청을 하면 등록휴학이 되는건가요?,9,조교 등록 휴학 관련 휴학 신청 기간 휴학 신청 개강 후 주 휴학 신청 지금 등록금 개강 첫 주 기간 휴학 신청 등록 휴학 가요
155,"안녕하세요, 조교님.막학기 18학점  남기고 취업했는데 취업계 인정이 될까요...??취업계 학점 제한이 있나요? 교수님께 허락 맡으면 되는 사항인가요?",8,조교 막 학기 학점 취업 취업 인정이 요 취업 학점 제한 교수 허락 사항
156,"안녕하세요, 조교님.제가 19- 2학기 때 일반휴학을 하고 올해 20- 1학기에 복학 신청을 한 상태입니다. 현재 상황이 이렇다보니 몇가지 궁금증이 생겼습니다.1. 만약에 이번 학기(20- 1학기)에 등록휴학을 하게 된다면 바로 그 다음 학기(20- 2학기) 뿐만 아니라 21- 1학기 등 아무런 때에 복학을 해도 복학하는 해댕 학기의 등록금 면제가 가능한가요?2. 종정시에 가보니 복학신청이 결제됬다고 나와있습니다.이런 경우 복학신청을 철회할 수 있나요?건강 잘 챙기시길 바랄께요!!",1,조교 제 학기 때 휴학 올해 학기 복학 신청 상태 현재 상황 가지 궁금증 만약 이번 학기 학기 등록 휴학 바로 그 다음 학기 학기 뿐 학기 등 때 복학 해도 복학 해댕 학기 등록금 면제 종 정시 복학 신청 결제 경우 복학 신청 철회 수 건강
157,"제가 3-2에 해외로 교환학생을 나가있을 수도 있는데, 해외에서 교직실습 신청이 가능한가요? 수강편람에는 학종지에 교육실습신청서랑 승낙서를 제출해야된다고 씌여있는데 출국 전에 교육실습 승낙 확인 절차만 거치면 대리인이 신청서랑 승낙서를 제출해도 교육실습 신청이 되나요?",0,제 해외 교환학생 수도 해외 교직 실습 신청 수강 편람 학 종지 교육실습 신청서 승 낙서 제출 씌 출국 전 교육실습 승낙 확인 절차 거치 대리인 신청서 승 낙서 제출 교육실습 신청
158,안녕하세요! 제가 국가근로를 이번학기에 신청했는데 제가 과장학금도 수혜가능한가요??,1,제 국가 근로 이번 학기 신청 제 과 장학금 수혜
159,"조교님 안녕하세요! 국제교류 프로그램이 1년으로 제한되어 있는 것으로 압니다. 파견학생 한학기, 영어권 교류학생 한학기, 해외계절학기 한번 이렇게 가는 것이 가능한가요?",1,조교 국제 교류 프로그램 제한 것 압니 파견 학생 학기 영어권 교류 학생 학기 해외 계절 학기 한번 것
160,조교님 안녕하세요!졸업 영어 성적 관련해서 문의드립니다.영어 성적은 반드시 오프라인으로 제출해서 인정받아야하나요?!,7,조교 졸업 영어 성적 관련 문의 영어 성적 반드시 오프라인 제출
161,안녕하세요!!제가 편입생인데 전공으로 인정되는 교양이 있다고 들었어요! 혹시 그 과목들을 어디서 볼 수 있을지 알려주세요ㅜㅜ 수강편람에 있다면 뭐라고 검색해야 나오는건가요? 다 읽어봤는데도 잘 모르겠네요ㅜㅜ대답해주시면 정말 감사하겠습니다!,4,제 편입 생 전공 인정 교양 혹시 그 과목 볼 수 수강 편람 검색 가요 대답 정말
162,안녕하세요 조교님졸업 외국어 인증은 꼭 대리인을 통해서라도 현장에서 해야하나요?? 점수는 꼭 원본을 제출해야하나요? 사본은 안되는건가요? 부탁드립니다!,7,조교 졸업 외국어 인증 꼭 대리인 통 현장 점수 꼭 원본 제출 사본 가요
163,조교님 안녕하세요!교환학생 공지에 지원 가능 대학 목록이 명시되어 있더라구요 그 이외의 학교로 교환을 가고싶다면 어떤 절차를 거쳐야 하는지요? 저는 영어 외 언어 전공인데 영어권 국가로 교환을 희망하고 있습니다,0,조교 교환학생 공지 지원 가능 대학 목록 명시 그 이외 학교 교환 절차 저 영어 외 언어 전공 영어권 국가 교환 희망
164,조교님 안녕하세요!현재 군 복무중에 있습니다복무중 원격강의를 들으려고 고민중인데제가 교양과목 재수강을 하고 싶습니다혹시 재수강도 가능한건가요??,6,조교 현재 군 복무 복무 격 강의 고민 제 교양과목 재수강 혹시 재수강 가요
165,조교님 안녕하세요!면학장학금에 대해 궁금한 것이 있어 질문드립니다.저는 현재 3-2까지 수료한 상태이고 작년 12월에 4-1학기에 대한 면학장학금을 신청해 수혜를 받을 수 있게 되었습니다. 그런데 제가 깁자기 사정이 생겨 휴학을 하게 되었고 등록휴학이 아닌 일반 휴학을 하려고 합니다. 면학장학금에 경우 신청횟수에 제한이 있다고 알고 있는데 면학장학금을 신청하고 일반휴학을 하게 되면 이번에 신청한 면학장학금은 없던 것이 되나요? 또한 올해 12월에 휴학생의 신분으로 면학장학금을 신청할 수 있나요?,9,조교 면학 장학금 대해 것 질문 저 현재 수료 상태 작년 학기 대한 면학 장학금 신청 수혜 수 제 사정 휴학 등록 휴학 일반 휴학 면학 장학금 경우 신청 횟수 제한 알 면학 장학금 신청 휴학 이번 신청 면학 장학금 것 또한 올해 휴학생 신분 면학 장학금 신청 수
166,"조교님 장학금에 관하여 질문드립니다!저는 복학을 앞둔 3학년 휴학생입니다. 제가 국가장학금 2차 신청과 함께 학과 수직장학생에 지원한 상태입니다. 국장은 2년 전을 기준으로 10분위로 조회되어 전혀 수혜를 받지 못 하였지만, 2년간 가정 사정이 변하였고 다자녀 적용 조건이 바뀜에 따라 다자녀 조건을 기준으로 선발이 된다면 8분위까지 등록금의 반액을 지원 받을 수 있는 상황인데요.현 상황에서 장학금에 관해 두 가지 사항을 확실히 알고 싶습니다.1. 수직 장학생 수혜금액은 100만원가량으로 알고 있고 이것은 국가장학금을 포함한 여타 장학금과 중복 될 수 없다고 알고 있는데, 수직장학생은 얼마나 수혜받는지와 무관하게 다른 장학금을 전혀 받을 수 없다는 뜻인가요? 아니면 등록금을 초과하지 않는 범위에서 가능한 건가요?2. 수직장학생으로 근무를 시작하고, 근무일이 어느정도 지난 시점에서 장학금 결과가 나온다면(이로 인해 중복을 방지하려 더 이상 근무가 어렵다면) 그때까지 근무한 만큼의 급여는 챙겨갈 수 있을까요?",0,조교 장학금 관 질문 저 복학 학년 휴학생 제 국가장학금 차 신청 학과 수직 장학생 지원 상태 국장 전 기준 조회 전혀 수혜 못 가정 사정 다자 녀 적용 조건 다자 녀 조건 기준 선발 등록금 반액 지원 수 상황 요 현 상황 장학금 관해 두 가지 사항 알 수직 장학생 수혜 금액 알 것 국가장학금 포함 여타 장학금 중복 수 알 수직 장학생 얼마나 수혜 무관 다른 장학금 전혀 수 뜻 등록금 초과 범위 건가 수직 장학생 근무 시작 근무 일이 정도 지난 시점 장학금 결과 이로 중복 방지 더 이상 근무 그때 근무 급여 수
167,"조교님 안녕하세요!항상 감사드립니다.다름이 아니라 제가 올해 4학년 1학기 학생이 되는데 휴학신청을 했습니다.근데 제가 기사 자격증 시험을 볼려하는데 4학년 이상만 응시가능이라서 증명서에 <4학년>이라고 찍히는 것 자체가 매우 중요해졌습니다그래서 원스톱센터에 문의해보니 방학동안에는 3학년, 개강하면 4학년이라고 휴학증명서에 뜬다는 답변을 받았습니다. 이게 맞는지 혹시 조교님이 아시는 정보로 확인해주실 수 있으실까요...? 학생지원팀은 잘 모르겠다고 넘겨서 불안해서 번거롭게 질문드립니다...ㅠㅠ",0,조교 항상 감사 제 올해 학년 학기 학생 휴학 신청 제 기사 자격증 시험 학년 이상만 응시 가능 증명서 학년 것 자체 매우 원스톱 센터 문의 방학 동안 학년 개강 학년 휴학 증명서 답변 이 혹시 조교 아시 정보 확인 수 요 학생 팀 질문
168,추가학기생은 3월말에 등록금 내는걸로 알고 있는데재학생 등록기간에는 아무것도 안해도 되나요?,1,추가 학기 생 등록금 는걸 알 재학생 등록 기간 것 안해
169,조교님 안녕하세요!분할납부를 하려는데 조건에 8학기 이상 등록자는 못하게 되어있더라고요 제가 이번에 8학기 학생인데 (4학년 2학기) 저도 납부 신청을 못하는건가요..?,1,조교 분할 납부 조건 학기 이상 등록 제 이번 학기 학생 학년 학기 저 납부 신청 가요
170,조교님!밑에분이랑 비슷한 고민인데현재 저도 4-1까지 마쳤는데 4-2에 인턴하고 5-1 추가학기에 9학점만 이수해서 반액 등록금 내고여름 계절에 전필3학점 들을 수 있나요???,8,조교 밑 분 고민 현재 저 인턴 추가 학기 학점 이수 반액 등록금 여름 계절 필 학점 수
171,"조교님 안녕하세요,다름이 아니라 여쭤볼게 있어서 이렇게 글을 남깁니다.현재 저는 막학기이며 제가 이수해야할 남은 학점은 18인데(본전공15+경영전필3)이번학기에 인턴을 가게 되었습니다.그러나 본전공에선 아마 6학점까지만 인정을 해줄 것 같아이중전공인 경영에서 3학점을 인정받지 못하면 추가학기에 12학점을 들어 등록금 전액을 내야합니다.그러나 애석하게도 이중전공에서 남은 학점이 전공필수 과목인데 이런 경우 어떻게 해야할까요ㅠ학과장님께 문의드린다면 전필 과목 학점을 인정해주실 수 있을까요?인턴쉽으로 인정받을 수 있는 학점이 전필과목 불가라는 것이 학칙인지, 아니면 과 내규인지 알고싶습니다ㅠㅠㅠ",8,조교 볼 글 현재 저 막 학기 제 수해 학점 전공 필 이번 학기 인턴 가게 전공 아마 학점 인정 것 중전 공인 경영 학점 추가 학기 학점 등록금 전액 내야 이중 전공 학점 전공 필수 과목 경우 요 학과 장님 문의 필 과목 학점 인정 수 인턴쉽 수 학점 필 과목 불가 것 학칙 과 내규
172,조교님 안녕하세요제가2019-2학기에 등록휴학하고2020-1학기에 복학해서 원복으로 결재처리되었는데 등록내역보니까 2019-2로 되어있더라구요 원래 그런건가요?!원복이라고 결재된거면 등록금 납부안해도되는거죠?,9,조교 제 학기 등록 휴학 학기 복학 복 결재 처리 등록 역보 로 원래 건가 복 결재 된거 등록금 납부 안해
173,제가 복학을 오늘 결정해서 1학기에 복학하게 되었는데(올해 2학년)1. 수강신청 기간은 신입생 할 때 하면 자동으로 되는건가요?언제 해야하나요? 교양같은거 이멜 보낼 필요 없이 그냥 똑같이 신청하면 되는건가요? 전공은 들을 수 있을 테고...2. 이중전공을 아랍어통번역학부로 1학기부터 하고싶은데 이것도 신청기간 지났으니 학과사무실에 연락해보면 되는 건가요?기간 지나서 아예 불가능인가요...,5,제 복학 오늘 결정 학기 복학 올해 학년 수강신청 기간 신입생 때 자동 가요 언제 교양 이 필요 그냥 신청 가요 전공 수 테 이중 전공 아랍어 통 번역학 부로 학기 것 신청 기간 학과 사무실 연락 건가 기간 아예 불가능
174,조교님 신입생인데 군휴학 하려합니다. 전화해보니깐 병적증명서를 3월 16일~20일 사이에 학종지의 메일로 보내라는데 정확한 절차를 모르겠습니다. 저 기간이 신입생 휴학신청기간인가요? 학종지에서 저때 신청 페이지가 열리나요?!!,9,조교 신입생 군 휴학 전화 병적 증명서 사이 학 종지 메일 절차 저 기간 신입생 휴학 신청 기간 학 종지 때 신청 페이지
175,안녕하세요! 교직부 전화 연결이 계속 안되서 답답한 마음에 글을 올립니다.다름이 아니라 저는 현재 사범대학 소속으로 졸업을 위해서 60시간의 교육봉사를 해야하는데요! 이때까지 계속 서울동행 봉사자로 중학교에 교육봉사를 해왔었는데 이번엔 한 초등학교에서 돌봄봉사를 하고 있어요. 그런데 이 돌봄 봉사활동도 교육봉사 시간으로 쳐주는지 모르겠어서요..혹시 아실까요?!,0,교직 부 전화 연결 계속 마음 글 저 현재 사범 대학 소속 졸업 위해 교육 봉사 때 계속 서울 동행 봉사자 중학교 교육 봉사 이번 초등학교 봉사 이 봉사활동 교육 봉사 시간 혹시 요
176,조교님 안녕하세요!휴학 중 현장실습 학점인정에 관해 여쭤보려고 하는데요! 아직 인턴이 시작되지는 않았고 학과장님께는 허락을 받은 상황입니다. 그럼 인턴 시작 전 따로 해야하는 서류 처리는 없는 건가요?답변 부탁드립니다:)늘 친절하게 답변해주셔서 감사합니다>_<,0,조교 휴학 중 현장 실습 학점 인정 관해 인턴 시작 학과 장님 허락 상황 인턴 시작 전 서류 처리 건가 답변 늘 답변
177,조교님 안녕하세요??추가학기 관련하여 질문드립니다!현재 후기이중과정을 이수 중이라 이번에 9학기를 필수로 등록하게 되는데 찾아보니 9학기 등록기간은 3월 중으로 나와있더라구요.그런데 등록금 고지서에는 납부기간이 2월 20일부터로 나와있어서 이렇게 질문드립니다.후기이중으로 인해 필수로 9학기를 등록하는 학생의 경우도 3월에 등록하는 것이 맞나요?무엇보다 항상 감사드립니다! 감기 조심하셔요??,1,조교 추가 학기 관련 질문 현재 후기 이중 과정 이수 중이 이번 학기 필수 등록 학기 등록 기간 중 등록금 고지서 납부 기간 질문 후기 이중 필수 학기 등록 학생 경우 등록 것 무엇 항상 감사 감기
178,안녕하세요! 학교에서 가는 현장실습 인턴은 장학금처럼 돈을 주나요??그러면 이번에 등록금을 국장 때문에 적게 냈으면 월급이 그만큼 안들어오게 되는건가요?,0,학교 현장 실습 인턴 장학금 돈 이번 등록금 국장 때문 월급 가요
179,안녕하세요 궁금한게 있어 글 남깁니다.제가 올해 3월말 입대 예정인데지금 군휴학을 신청해도 상관없는건가요? 개강날부터 입대 전까지의 기간도 군휴학 기간에 포함되는지 궁금합니다.,9,글 제 올해 입대 예정 지금 군 휴학 신청 가요 개강 날 입대 전 기간 군 휴학 기간 포함
180,안녕하세요 조교님 ㅎ혹시 휴학은 본인이 아닌 가족이 신청해도 가능한건가요???감사합니다,9,조교 혹시 휴학 본인 가족 신청 가요
181,"수고하십니다.다름 아니라 제가 이번 4-1 학기 수강신청을 하고 휴학신청을 안했었는데 현재 개인사정으로 휴학을 고민하게 돼서요..그래서 혹시1. 지금 이번 학기 휴학 신청을 할 수 있을지 ,2. 등록 기간에 등록금을 납부하고 등록 휴학을 할 수 있을지,3. (제가 이번 면학.장학금.신청을 못했는데) 만약 등록 휴학이 가능하다면 등록 휴학 후 이번 4-1 학기 면학 장학금을 2학기 때 신청해서 받을 수 있을지알려주시면 감사하겠습니다 조교님!!",9,수고 제 이번 학기 수강신청 휴학 신청 현재 개인 사정 휴학 고민 혹시 지금 이번 학기 휴학 신청 수 등록 기간 등록금 납부 등록 휴학 수 제 이번 면학 장학금 신청 만약 등록 휴학 등록 휴학 후 이번 학기 면학 장학금 학기 때 신청 수 조교
182,안녕하세요 조교님!! 제가 19-2학기에 등록휴학을 하고 20-1학기에 원복 신청을 했는데 사정이 생겨서 이번 학기에 휴학을 다시 신청해도 등록휴학이 유지될까요?? ㅠㅠ,9,조교 제 학기 등록 휴학 학기 복 신청 사정 이번 학기 휴학 다시 신청 등록 휴학 유지 요
183,등록금 기간 언제예요???,0,등록금 기간 언제
184,경영 부전 신청 기간을 놓쳐서 수업을 먼저 듣고 2학기 때 부전 신청을 하려고 했는데 그럼 수강 신청은 부전생들 신청기간인 화요일에는 못하고 수요일부터 가능한건가요?ㅠㅠ,5,경영 부전 신청 기간 수업 먼저 학기 때 부전 신청 수강 신청 부 전생 신청 기간 화요일 못 수요일 가요
185,"안녕하세요 조교님 9학기 예정자입니다.1) 개강 전에도 휴학 신청이 가능한지요?2) 개강 후 등록금 납부 전 , 즉 수강 변경 기간에 휴학 신청을 하면 어떻게 처리가 되는가요? (등록금을 납부해야 하나요?)",9,조교 학기 예정자 개강 전 휴학 신청 개강 후 등록금 납부 전 즉 수강 변경 기간 휴학 신청 처리 등록금 납부 하나요
186,안녕하세요! 조교님!??여쭤볼 것이 3가지 있습니다..! 1. 제가 이번에 부전공으로 경영을 하게 되었는데요!수강신청을 하려고 보니 20학번 우선수강과 이중전공 우선수강이 있었습니다! 정정기간 때 이 두 구분에 상관없이 신청할 수 있는 것인지 여쭙고 싶습니다.(홈페이지 참조라고 되어있는데 확인하지 못해서요ㅠㅠ)2.인간과사회 및 교양과목들 중 강사배정중이라고 나오는 과목들은 언제 시간이 배치되는 건지 알 수 있을까요?3. 제가 이번에 인간과사회 트랙을 재수강을 해야하는데 꼭 같은 과목이 아니여도 되는건지 확인차 여쭙규 싶습니다!좋은하루되세요;),4,조교 볼 것 가지 제 이번 부 전공 경영 수강신청 학번 우선 수강 이중 전공 우선 수강 정정 기간 때 이 두 구분 신청 수 것 홈페이지 참조 확인 인간 사회 및 교양과목 중 강사 배정 과목 언제 시간 배치 알 수 제 이번 인간 사회 트랙 재수강 꼭 과목 확인 차 규 하루
187,"이번에 중국 교환학생 지원하는데요 1전공 중외통 이중 행정학과인데요 학교 지원자격에 ? 법과대,사회과학대 제1(이중,부전공)학생 우선선발이렇게 써있으면 제 1전공이 중국어대이면서 이중전공이 사회과학대(행정)인 사람도 우선선발에 포함되는 건가요? 아니면 제 1전공이 법과대,사과대면서 이중이 중국어대인 사람만 우선선발에 포함되는건가요?",2,이번 중국 교환학생 지원 전공 중 외통 이중 행정 학과 요 학교 자격 법 과대 사회과학 제 이중 부 전공 학생 우선 선발 제 전공 중국어 면서 이중 전공 사회과학 행정 인 사람 우선 선발 포함 건가 제 전공 법 과대 사과 대면 이중 중국어 대인 사람 우선 선발 포함 가요
188,복학신청은 언제까지 해야하나요?~,5,복학 신청 언제
189,안녕하세요 조교님 수고많으십니다이번년부터 전공심화만 들어도 되는걸로알고있는데 전공심화만 듣는것도 변경기간이나 신청기간때 신청을따로하는건가요 아니면 신청하지않고 가만히 있으면 저절로 전공심화가 되는건가요??,5,조교 수고 이번 년 심화 는걸 심화 변경 기간 신청 기간 때 신청 가요 신청 저절로 심화 가요
190,휴학신청은 언제까지 해야되나요?,9,휴학 신청 언제
191,조교님 안녕하세용질문글은 아니구요항상 감사합니다!건강하세요????,3,조교 질문 글 항상
192,안녕하세요 조교님 휴학신청 지금도 할 수 있나요? 수강신청 기간 때 말고도 되는 때 있다던데 여쭤봅니다,9,조교 휴학 신청 지금 수 수강신청 기간 때 때
193,"조교님 수고많으십니다이번에 9학기로 등록하는 학생입니다.9학기 등록의 경우 7-9학점 까지 등록금의 1/2 납부로 알고 있습니다.수강신청 확정을 3.20까지하고 , 이때 확정된 학점을 기준으로 등록금을 감면하여 납부한다는데, 만일 수강신청을 제대로 못하여 개강주 오티 수업에 교수님께 추가 등록을 요청하는 경우 전산상 7-9학점을 못 맏추면 등록금 고지서는 어떻게 되죠?예를 들어, 현재 수강신청은 5학점이고 개강주 오티때 교수님께 부탁하여 9학점을 들으려하는 경우 그러나 여전히 3.20까지는 전산상 5학점인 경우 어떻게 되는 거죠? 말이 길어졌습니다. 답변 드리면 감사드리겠습니다.",8,조교 수고 이번 학기 등록 학생 학기 등록 경우 학점 등록금 납부 알 수강신청 확정 때 확정 학점 기준 등록금 납부 만일 수강신청 제대로 개강 주 티 수업 교수 추가 등록 요청 경우 전산 학점 못 맏 등록금 고지서 예 현재 수강신청 학점 개강 주 티때 교수 부탁 학점 경우 전산 학점 경우 거 말 답변 감사
194,죠교님학생지원팀에서 학교장학공지에 오늘4시까지 장학금신청서 직접제출하면된다하여서2시에 전화로 4시까지오면된데서갔는데 문이닫겨있으면 어떻게해야하나요??..ㅠㅜ,0,교 학생 팀 학교 장학 공지 오늘 장학금 신청서 직접 제출 전화 문
195,조교님 ! 졸업증명예정서는 2월 21일부터 종정시에서 뽑을 수 있는건가요?????학교 홈페이지에 졸업사정대상자는 2.21부터 뽑을 수 잇다고 하셔서요:),7,조교 졸업 증명 정서 종 정시 수 가요 학교 홈페이지 졸업 사정 대상자 부터 수
196,안녕하세요 조교님 고생 많으십니다!수강편람에 보면 (13학번 기준)<HUFS Career Design>를 들으면 대체가 되므로 <진로개발세미나> 시리즈는 안 들어도 된다고 나오는데요.그런데 또 중복 수강유의교과목 리스트에는 올라와 있지 않습니다.제가 <Hufs Career Design> 과 <진로개발세미나2> 를 모두 들었는데 혹시 중복되는 학점은 아닌지 궁금해서 여쭤봅니다..!,0,조교 고생 수강 편람 학번 기준 를 대체 진로 개발 세미나 시리즈 안 또 중복 강유 교과목 리스트 제 과 진로 개발 세미나 를 모두 혹시 중복 학점
197,현장실습 인턴추가 학기생도 할 수 있나요?받을 수 있는 학점이 아직 꽤 남았다는 가정 하에요!,1,현장 실습 인턴 추가 학기 생도 수 수 학점 꽤 가정 하
198,안녕하세요 조교님!이제 2학년 올라가는 학생입니다 서양어 대학 교직이수 개설된 과를 다니고 있는데요 교직이수를 하려면 2학년 1학기까지 교육학 이론과목을 들어야 한다는 조건을 봐서 이번 수강신청 때 교육 심리 과목을 잡았습니다 근데 만약 교직이수 신청을 안 하고 이 수업만 듣고 넘어간다면 이건 학점이 전공으로 들어가나요 교양으로 들어가나요? 교양이면 자선인가요?감사합니다:),4,조교 이제 학년 학생 서양 대학 교직이수 개설 교직이수 학년 학기 교육학 이론 과목 조건 이번 수강신청 때 교육 심리 과목 만약 교직이수 신청 안 이 수업 이건 학점 전공 교양 교양 자선
199,"안녕하세요 조교님, 여쭈어볼게 있어서 질문 드립니다.현재 경영학전공인데, 전공필수가 아닌 ‘국제금융론’과목을 다른 전공선택 과목으로 재수강 할 수 있나요?? 방학 계절학기로 재수강해야하는데 ‘국제금융론’은 재수강이 열리지 않아서요ㅠㅠ!!!",6,조교 볼 질문 현재 경영학 전공 필수 국제 금융 론 과목 다른 공선택 과목 재수강 수 방학 계절 학기 재수강 국제 금융 론 은 재수강 리지
200,"조교님 안녕하세요9학기 2학점 이수후 졸업하려는 졸업예정자입니다.혹시 수강신청기간 동안에 등록, 수강신청을 못했더라도 수강변경기간에 과목 신청하고 추가적으로 학기 등록이 가능한가요?동기들 사이에서도 의견이 분분하여 여쭤봅니다. 감사합니다",7,조교 학기 학점 후 졸업 졸업 예정자 혹시 수강신청 기간 동안 등록 수강신청 강변 기간 과목 신청 추가 학기 등록 동기 사이 의견
201,조교님 항상 수고하십니다:)제가 입학장학금으로 전액장학금을 받고 있는데 이번 학기에 군대를 가야해서 휴학신청을 해둔 상태입니다!! 그런데 복학 후에도 장학금을 받으려면 등록휴학을 해야하는지 일반휴학을 해야하는지 궁금해서 이렇게 질문 올려봅니다. 감사합니다!!,9,조교 항상 수고 제 입학 장학금 전액 장학금 이번 학기 군대 가야 휴학 신청 해 상태 복학 후 장학금 등록 휴학 휴학 질문
202,안녕하세요 조교님!!항상 감사드립니다:)제가 외부장학금을 받기위해서 학과장추천서가필요하다고 하는데 추천서를 받기위해서 교수님께 직접 말씀드려야 하나요? 아니면 학과사무실에 말씀드려야 하나요??,3,조교 항상 감사 제 외부 장학금 위해 학과 추천 추천 를 위해 교수 직접 하나요 학과 사무실 하나요
203,"안녕하세요 조교님.오늘도 수고 많으십니다!다름 아니라 제가 개인사정으로 부전공 변경 기간을 놓쳤는데, 에타에서 찾아보니 미리 부전공 과목들을 들어놓으면 2학기시작때 그 부전공과목으로 바꿔도 들어놓은 학점이 인정이 된다고 해서요..그런데 제가 1전공이 글캠인데 하고 싶은 부전공이 스칸디나비아어 설캠과목이라 그런지 아직 부전공이 아니어서 수강신청 할때는 캠간 수간이 불가하다고 뜨더라구요.. 나중에 부전공으로 하고 싶은데, 수강신청 변경 때라도 스칸디나비아어 과목들로 바꾸고 나중에 인정받고 싶은데, 혹시 가능한 방법이 있을지 알려주시면 감사드리겠습니다.",4,조교 오늘 수고 제 개인 사정 부 전공 변경 기간 에타 미리 부 전공 과목 학기 시작 때 그 부전 과목 학점 인정이 제 전공 글캠 부전 공이 스칸디나비아 설캠 과목 부전 공이 수강신청 때 캠 수간 나중 부 전공 수강신청 변경 때 스칸디나비아 과목 나중 혹시 방법 감사
204,"안녕하세요 조교님늘 수고 많으십니다!막학기를 앞두고 있는 영어대 학생입니다.수강편람의 외국어 인증 요건에는제2외국어 Flex 점수나, 해당언어 전공기초 어학강좌 96시간 이수라고 돼 있는데전공기초 어학강좌의 경우 필수로 들었던 교양외국어 1,2 는 인정이 안 되는 건가요?댓 기다리겠습니다~감사합니다",0,조교 늘 수고 막 학기 영어 학생 수강 편람 외국어 인증 요건 제 외국어 점수 해당 언어 전공 기초 어학 강좌 이수 전공 기초 어학 강좌 경우 필수 교양 외국어 인정이 안 건가 댓
205,안녕하세요 조교님!재입학 관련해서 궁금한 것이 있습니다..재입학을 하면 그전 학년.성적.등이 그대로 유지된다고 하셨는데 제가 2-1학기를 마치고 휴학을 한  상태인데 그럼 1학년으로 재입학(다시 시작)은 불가인가요?.또 2-1을 다시 다니는 방법은 없나요..?,0,조교 재 입학 관련 것 재 입학 전 학년 성적 등 그대로 유지 제 학기 마치 휴학 상태 학년 재 입학 다시 시작 은 불가 또 다시 방법
206,"에타조교님 안녕하세요!처음으로 질문 올려보네요..ㅎㅎ 항상 감사합니다후기이중에 관한 질문입니다.후기이중전공이라 함은부전공 학점(21)을 포함한 졸업 학점(134)을 8학기까지 다 들어놓고, 9학기를 추가 듣는것으로 알고 1. 8학기를 전공심화+부전공(70+21) 과정이 아닌 그냥 부전공(54+21) 과정으로 이수하는 것이 맞나요?2. 8학기까지 이중전공학점(42)을 포함해서 134학점 다 들어놓고 신청하면 9학기에는 그냥 등록금만 내고 아무것도 안들어도 되는 건가요?감사합니다!",2,에타 조교 처음 질문 항상 후기 이중 관 질문 후기 이중 전공 함 은부 전공 학점 포함 졸업 학점 학기 학기 추가 알 학기 전공 심화 부 전공 과정 그냥 부 전공 과정 이수 것 학기 이중 전공 학점 포함 학점 신청 학기 그냥 등록금 것 건가
207,안녕하세요 에타조교님다름이아니라 금일 전화로 확인은했는데혹시나 해서 다시 여쭤봅니다ㅠ14학번 당시 교양영어른 필수과목으로 들었었는데현재 대학영어로 이름이바뀌었다고하시더라구요그러면 대학영어는중복되니깐 듣지못하더라도실용외국어(선택) 에 있는 교양과목hufs 서바이벌 잉글리시나 취업영어는 들을수있나요? 고학번도 훕스 서바이벌을들을수있나요?,0,에타 조교 금일 전화 확인 혹시 다시 학번 당시 교양 어른 필수 과목 현재 대학 영어 이름 대학 중복 실용 외국어 선택 교양과목 서바이벌 잉글리시 취업 영어 학번 훕스 서바이벌
208,안녕하세요 조교님~고생이 많으십니다!제가 19학번인데 사정이 있어서2019 1학기만 다니고 다음 학기는 휴학했더니이번 학기까지 1학년입니당이중전공을 1학년 마치고 신청하는 걸로 알고 있는데제가 재수강 때문에 이번 학기를 마쳐도 27학점밖에 되지 않습니다ㅜㅜ이 경우 이중전공 우선선발에서 제외된 채 신청하게 되는 건가요?아니면 34학점 이상 이수 후 2학년 1학기(2020 2학기)를 마치고 20학번과 함께 신청해도 되는 건가요?답변 부탁드립니다!감사합니다~~,1,조교 고생 제 학번 사정 학기 다음 학기 휴학 이번 학기 학년 이중 전공 학년 마치 신청 걸 알 제 재수강 때문 이번 학기 학점 이 경우 이중 전공 우선 선발 제외 채 신청 건가 학점 이상 이수 후 학년 학기 학기 를 마치 학번 신청 건가 답변
209,"안녕하세요 조교님제가 개명을 했는데요. 학교 행정(?)관련해서는 아직 예전이름으로 남아있습니다. 종정시에서 이름 변경은 안되는것 같고, 학생증도 바꿔야 하는데 이런 경우에는 어디로 문의 해야하나요?",3,조교 제 개명 학교 행정 관련 이름 종 정시 이름 변경 학생증 경우 어디 문의
210,안녕하세요 조교님!다름이 아니라 제가 작년에 전공이였던 과목을 올해 재수강 하려는데 교양과목으로 바뀌어서요!  만약 재수강하기 되면 전공으로 유지되는건가요? 과목명도 살짝 다르네요..,4,조교 제 작년 전공 과목 올해 재수강 교양과목 만약 재수강 전공 유지 가요 과목 명도 살짝
211,안녕하세요 조교님~다름이 아니라 휴학 신청 기간내에 일반휴학 신청을 했는데1주일이 지난 오늘까지도 결재가 안되었네요.... 이대로 기다려도 추후에 결재가 되는건지 아님 학교에 전화하는게 좋은건지 잘 모르겠습니다!,9,조교 휴학 신청 기간 내 일반 휴학 신청 주일 지난 오늘 결재 추후 결재 학교
